Source IP,Source Port,Destination IP,Destination Port,Protocol,Flow Duration,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label
10.0.2.15,34328,198.52.200.39,443,TCP,7.250309,521.4950149021234819095296490,1.379251560174883580823934539,0.8055898888888888888888888889,2.159056104584214159626535793,6.553509,0.000030,1.81257725,3.161835544833451643825495302,6.553509,0.112656,1.81249875,3.162099249324133722169410839,6.553833,0.112686,0.3484,0.1193270977523546409327400895,0.432777,0.264023,6.553509,0,6.553509,6.553509,CHAT
10.0.2.15,34328,198.52.200.39,443,TCP,9.224162,455.9763802934076829960271730,0.9756983886449522460685317539,1.15302025,3.083272946152362850938499775,8.778285,0.000031,2.306026,4.317049755914718819067284854,8.778285,0.000467,3.074710333333333333333333333,4.941233599867783354071324627,8.778937,0.112424,0.2229385,0.3152006258884966110244447837,0.445819,0.000058,8.778285,0,8.778285,8.778285,CHAT
10.0.2.15,34328,198.52.200.39,443,TCP,6.879553,915.1757388888493191345426076,2.471090781624910804524654436,0.4299720625,1.106730653405212756631973981,4.101299,0.000029,0.85993775,1.483986613554732459650270794,4.101353,0.000257,0.9827855714285714285714285714,1.558436464602782273982938951,4.101332,0.064829,0.2277546666666666666666666667,0.2001393803136537477905514143,0.458855,0.111706,3.0981445,1.418674699055600977133133651,4.101299,2.094990,CHAT
10.0.2.15,34328,198.52.200.39,443,TCP,0.000616,10837662.33766233766233766234,12987.01298701298701298701299,0.000088,0.00004661902329879223599405475575,0.000164,0.000015,0.00014075,0.00005713944930314490409917878090,0.000210,0.000085,0.0001405,0.0001774838020778234286246119349,0.000266,0.000015,0.000616,0,0.000616,0.000616,0,0,0,0,CHAT
10.0.2.15,34328,198.52.200.39,443,TCP,0.350630,5587.086102158970995066024014,17.11205544305963551321906283,0.070126,0.1056242053887270671002506826,0.237895,0.000045,0.175315,0.08899787369370124451613907310,0.238246,0.112384,0.175149,0.08873624418466222193211076069,0.237895,0.112403,0.35063,0,0.350630,0.350630,0,0,0,0,CHAT
10.0.2.15,34328,198.52.200.39,443,TCP,7.984685,1145.818526341364750143556070,1.753356582006679036179886871,0.6142065384615384615384615385,2.180043187584388788707297716,7.869066,0.000037,1.140669285714285714285714286,2.967301973843787624429641709,7.869184,0.000117,1.5968616,3.506618180458388600464890063,7.869066,0.000134,0.0578095,0.08027995418845230008780106296,0.114576,0.001043,7.869066,0,7.869066,7.869066,CHAT
10.0.2.15,34328,198.52.200.39,443,TCP,0.337308,28561.43346733549159818326277,41.50509326787387195085796957,0.02594676923076923076923076923,0.06738477776688372882941379152,0.225928,0.000007,0.04818685714285714285714285714,0.08857115494980776834364349624,0.226093,0.000073,0.0673928,0.1006780066533897958461839952,0.225928,0.000007,0.337308,0,0.337308,0.337308,0,0,0,0,CHAT
10.0.2.15,34328,198.52.200.39,443,TCP,0.112424,11581.15704831708531986052800,35.57959154628904860172205223,0.03747466666666666666666666667,0.06482488884937122152761653343,0.112328,0.000039,0.112367,0,0.112367,0.112367,0.112385,0,0.112385,0.112385,0.112424,0,0.112424,0.112424,0,0,0,0,CHAT
10.0.2.15,34328,198.52.200.39,443,TCP,0.413825,26511.20642783785416540808313,43.49664713345012988582130127,0.02434264705882352941176470588,0.06772906097084653261303596657,0.271095,0.000030,0.04598055555555555555555555556,0.08982340928888068974495125690,0.271269,0.000197,0.05905485714285714285714285714,0.09922205142243426966521667651,0.271095,0.000147,0.413825,0,0.413825,0.413825,0,0,0,0,CHAT
10.0.2.15,34328,198.52.200.39,443,TCP,9.994929,979.8969057208910638584826365,1.600811771649403412470463772,0.6663286,2.453948636147662204888469484,9.533371,0.000007,1.249360875,3.348323028341391653957574621,9.533371,0.000098,1.665812166666666666666666667,3.855481026320083794203609840,9.533750,0.000007,0.230779,0.1670737760451950759703827042,0.348918,0.112640,9.533371,0,9.533371,9.533371,CHAT
